#{"t_start": 1682950948.4934337, "env_id": null}
r,l,t
-5777246.0,601,383.762552
-6085485.0,601,391.255517
-5841827.0,601,391.255517
-5967675.0,601,391.255517
-5845160.0,601,394.130516
-6189885.0,601,396.517516
-5928074.0,601,396.517516
-6082360.0,601,396.517516
-5996505.0,601,399.331517
-6273591.0,601,401.757549
-6012108.0,601,401.757549
-6167618.0,601,401.757549
-6142932.0,601,404.621516
-6359781.0,601,407.012516
-6102701.0,601,407.012516
-6286094.0,601,407.012516
-6292713.0,601,414.815516
-6443881.0,601,417.201516
-6175060.0,601,417.201516
-6397698.0,601,417.201516
-6378487.0,601,419.992552
-6530571.0,601,422.289519
-6257782.0,601,422.289519
-6486059.0,601,422.289519
-6467668.0,601,425.163518
-6619969.0,601,427.475517
-6399570.0,601,427.475517
-6579342.0,601,427.475517
-6559834.0,601,430.286553
-6706788.0,601,437.709517
-6479146.0,601,437.709517
-6670505.0,601,437.709517
-6646655.0,601,440.563516
-6800383.0,601,442.919516
-6567536.0,601,442.919516
-6764338.0,601,442.919516
-6817045.0,601,445.804518
-6932231.0,601,448.182516
-6700905.0,601,448.182516
-6857963.0,601,448.182516
-6954295.0,601,451.044517
-7039617.0,601,453.398518
-6811382.0,601,453.398518
-7000187.0,601,453.398518
-7053533.0,601,461.308517
-7110774.0,601,463.629547
-6954896.0,601,463.629547
-7091722.0,601,463.629547
-7132513.0,601,466.437516
-7248371.0,601,468.824548
-7142220.0,601,468.824548
-7178320.0,601,468.824548
-7216760.0,601,471.663554
-7394096.0,601,473.95952
-7245252.0,601,473.95952
-7268820.0,601,473.95952
-7331658.0,601,476.827518
-7502178.0,601,484.249518
-7331364.0,601,484.249518
-7354557.0,601,484.249518
-7442280.0,601,487.07152
-7588674.0,601,489.432516
-7416269.0,601,489.432516
-7441367.0,601,489.432516
-7595344.0,601,492.32054
-7740854.0,601,494.727516
-7502720.0,601,494.727516
-7569484.0,601,494.727516
-7679274.0,601,497.534516
-7849005.0,601,505.001516
-7586773.0,601,505.001516
-7683198.0,601,505.001516
-7777759.0,601,507.834518
-7970297.0,601,510.135553
-7677477.0,601,510.135553
-7762530.0,601,510.135553
-7900471.0,601,513.009517
-8059777.0,601,515.384517
-7752879.0,601,515.384517
-7857022.0,601,515.384517
-8009967.0,601,518.257518
-8160704.0,601,520.620517
-7849227.0,601,520.620517
-7928658.0,601,520.620517
-8115067.0,601,528.431518
-8243309.0,601,530.83152
-7992685.0,601,530.83252
-8020239.0,601,530.83252
-8265453.0,601,533.628554
-8358934.0,601,536.078516
-8074053.0,601,536.078516
-8092579.0,601,536.078516
-8409178.0,601,538.928519
-8491404.0,601,541.274516
-8171030.0,601,541.274516
-8188478.0,601,541.274516
-8542689.0,601,544.140517
-8582719.0,601,551.521554
-8244496.0,601,551.521554
-8268242.0,601,551.521554
-8654656.0,601,554.457553
-8672607.0,601,556.84652
